x	y	err
-3.1000000000000005	0.15147774253473542	0.06978514162016647
-2.0999999999999996	0.0488681461689011	0.06815816309497108
-1.9999999999999996	0.0001991733091328446	0.0002256953070557856
-1.8999999999999995	0.0005485823587983335	0.0007499534546750917
-1.7999999999999994	0.12724222616823028	0.2845222673205655
-1.6999999999999993	0.3522512544215456	0.30023112243154937
-1.5999999999999992	0.00022908661545736377	0.00024296951868812695
-1.4999999999999991	0.004250539299561519	0.0031000143002123184
-1.399999999999999	0.06754187441810745	0.04227348493656742
-1.299999999999999	0.15553531459190287	0.06745142012366864
-1.1999999999999988	0.11752572229240955	0.10327343469674427
-1.0999999999999988	0.10609835235139779	0.05067506886022534
-0.9999999999999987	0.04863486900463761	0.04338120637751514
-0.8999999999999986	0.22147239200380417	0.2642233328695559
-0.8000000000000007	0.20902682586018645	0.12909627162858472
-0.6999999999999984	0.16313236349851148	0.07954679815340258
-0.6000000000000005	0.04105327916745324	0.023626761269139117
-0.5000000000000004	0.019305363446316184	0.003300517500753497
-0.40000000000000036	0.16204580246044717	0.09180038286414122
-0.30000000000000027	0.1946338835692116	0.044594824864284906
-0.20000000000000018	0.12519771962682316	0.037086294771937894
-0.10000000000000009	0.0779589754371878	0.07122950833903255
0.	0.09911506535954619	0.09286141621959487
0.10000000000000009	0.000027313344390814722	0.00004298035462546549
0.20000000000000018	0.	0.
0.30000000000000027	0.000015922932357762343	0.00003344776688052347
0.40000000000000036	0.00008238164932116024	0.00004950834924703311
0.5000000000000004	0.0003306587955633156	0.00027820138588748717
0.6000000000000005	0.0032170433657592677	0.0017414316531137747
0.7000000000000006	0.024783126214678767	0.019290256662245896
0.8000000000000007	0.1743459276862615	0.1808172642396605
0.9000000000000008	0.23378583845291287	0.07383255958209715
1.0000000000000009	0.18764288314535987	0.1426227677136358
1.100000000000001	0.3560977684654382	0.1425923317888767
1.200000000000001	0.2100377190897948	0.12360653559197786
1.3000000000000012	0.2437244573143396	0.13759302699529394
1.4000000000000012	0.17364056207281214	0.09965699800427838
1.4999999999999991	0.01081591135468537	0.008960423064656779
1.6000000000000014	0.01729014238017842	0.010313570451188279
2.4	0.00822957825557653	0.0062982454976101415
3.400000000000001	0.06771570048613057	0.039160942271294914
